year;sex;age;pop;immig;emig;born;dead
2003;1;75;30008;22;23;0;1128
2003;1;76;28174;28;14;0;1257
2003;1;77;27503;22;25;0;1408
2003;1;78;26855;19;19;0;1450
2003;1;79;25325;18;14;0;1522
2003;1;80;24451;11;8;0;1744
2003;1;81;22196;17;12;0;1748
2003;1;82;21658;6;12;0;2003
2003;1;83;20673;10;10;0;2119
2003;1;84;15181;11;7;0;1788
2003;1;85;13145;5;1;0;1669
2003;1;86;11352;5;4;0;1695
2003;1;87;9587;6;3;0;1589
2003;1;88;7650;4;4;0;1465
2003;1;89;6527;4;3;0;1392
2003;1;90;5196;5;1;0;1183
2003;1;91;3954;2;2;0;993
2003;1;92;2982;1;3;0;943
2003;1;93;2160;0;0;0;703
2003;1;94;1535;0;0;0;560
2003;1;95;973;0;1;0;379
2003;1;96;666;0;2;0;318
2003;1;97;391;0;0;0;237
2003;1;98;227;0;0;0;130
2003;1;99;136;0;0;0;73
2003;1;100;189;0;2;0;124
2003;2;0;48092;299;141;0;109
2003;2;1;47392;833;279;0;22
2003;2;2;45352;548;257;0;7
2003;2;3;44934;468;267;0;4
2003;2;4;44321;427;233;0;7
2003;2;5;44446;423;221;0;3
2003;2;6;45187;434;213;0;5
2003;2;7;47750;412;190;0;1
2003;2;8;51206;423;221;0;3
2003;2;9;55952;439;221;0;3
2003;2;10;58413;408;172;0;4
2003;2;11;60898;370;193;0;2
2003;2;12;62145;370;143;0;3
2003;2;13;63004;390;164;0;5
2003;2;14;59498;349;136;1;11
2003;2;15;57835;336;113;3;16
2003;2;16;55095;349;115;27;17
2003;2;17;53622;339;103;81;18
2003;2;18;52170;447;93;163;11
2003;2;19;50161;699;328;255;10
2003;2;20;49426;938;327;528;16
2003;2;21;50022;948;464;767;13
2003;2;22;50800;968;511;1063;16
2003;2;23;52537;1166;547;1246;15
2003;2;24;52138;1137;552;1499;10
2003;2;25;50989;1226;589;1896;8
2003;2;26;52191;1081;592;2293;16
2003;2;27;53720;1092;597;2767;13
2003;2;28;56530;1024;596;3224;25
2003;2;29;59560;1001;636;3784;24
2003;2;30;59356;961;521;3970;11
2003;2;31;60492;911;524;3889;23
2003;2;32;61035;854;480;3807;25
2003;2;33;59655;740;415;3280;27
2003;2;34;58844;733;374;2826;21
2003;2;35;61951;626;363;2507;18
2003;2;36;64999;619;358;2076;30
2003;2;37;65818;584;368;1756;36
2003;2;38;66076;524;305;1414;38
2003;2;39;66476;458;297;1098;44
2003;2;40;61437;432;261;721;34
2003;2;41;59050;441;233;449;47
2003;2;42;57389;350;232;296;49
2003;2;43;56979;333;212;165;60
2003;2;44;57197;307;178;98;60
2003;2;45;57181;269;161;53;53
2003;2;46;58471;265;157;23;81
